0 0 0.137197372 -13.20439899
0 1 0.145446346 -17.97058351
0 2 0.15171742 -16.1877935
0 3 0.219737663 -21.17864321
0 4 0.10638841 -10.5670032
0 5 0.136892881 -11.4428174
0 6 0.108570339 -12.34523374
1 0 0.149042949 -15.60129583
1 1 0.143271798 -16.83761073
1 2 0.165694362 -18.72224548
1 3 0.14363051 -16.12300133
1 4 0.101627752 -13.71467809
1 5 0.090005018 -11.27844029
1 6 0.131636258 -16.84624362
2 0 0.200522591 -18.98922757
2 1 0.160007666 -13.88098566
2 2 0.166520291 -16.40917951
2 3 0.131782839 -13.06393155
2 4 0.137101669 -13.84260671
2 5 0.100880187 -11.20797366
2 6 0.10333024 -11.30484827
3 0 0.144046854 -16.84248393
3 1 0.128901912 -13.30303091
3 2 0.143001135 -16.63040146
3 3 0.157129053 -15.71224082
3 4 0.098664077 -10.96926725
3 5 0.092574643 -8.362055723
3 6 0.099785271 -9.668328754
