2
1
14
196.019 88.4938
223.845 132.741
758.725 549.926
1247.23 954.469
1819.21 1434.86
2409.74 1921.58
2453.02 1738.27
1729.55 1188.35
1253.41 796.444
820.56 461.432
465.005 214.914
267.13 82.1728
267.13 82.1728
196.019 88.4938
2
17
1095.73 625.778
1945.97 1213.63
2619.98 1738.27
3250.71 2243.95
3695.92 2604.25
3720.66 2446.22
3071.38 1921.58
2616.89 1567.6
2051.09 1137.78
1646.07 840.691
1151.38 505.679
703.072 240.198
400.077 69.5308
325.874 88.4938
424.812 164.346
857.662 442.469
1095.73 625.778
