0	0	0
1	0	1
2	0	2
3	0	3
4	0	4
5	0	5
6	0	6
8	1	0
9	1	1
10	1	2
11	1	3
12	1	4
13	1	5
14	1	6
16	2	0
17	2	1
18	2	2
19	2	3
20	2	4
21	2	5
22	2	6
24	3	0
25	3	1
26	3	2
27	3	3
28	3	4
29	3	5
31	3	6
